car,checkpoint_km,fault_label,risk,risk_low,risk_high
532,50000,1,0.7829851126670837,0.6960689544677734,0.8554114580154418
501,50000,1,0.7785496830940246,0.7256225705146789,0.8370062232017517
518,50000,1,0.7190756154060364,0.5881181478500366,0.8189269065856933
520,50000,1,0.7153064751625061,0.591074538230896,0.7952218294143677
515,50000,1,0.6826187133789062,0.5674142956733703,0.8006941556930541
510,50000,1,0.6785443115234375,0.5555502772331238,0.7791631698608398
502,50000,1,0.6084277260303498,0.48946922421455386,0.7793209075927733
511,50000,0,0.608274474143982,0.4828916370868683,0.7166250228881836
500,50000,1,0.5838229572772979,0.45025479793548584,0.7474000573158264
521,50000,1,0.5049778866767883,0.3781075835227966,0.6501418590545652
504,50000,1,0.41661669850349425,0.3087426483631134,0.5807617664337157
533,50000,1,0.35545891523361206,0.2539326071739197,0.5395548105239866
535,50000,0,0.3170908200740814,0.2142469882965088,0.41496717929840077
508,50000,0,0.24116915345191955,0.1827717512845993,0.293022733926773
503,50000,0,0.22702442049980165,0.14557313919067383,0.37340973615646333
523,50000,0,0.2062026846408844,0.13091550171375274,0.26498994827270506
512,50000,0,0.1886472100019455,0.13856780529022217,0.28097052872180917
516,50000,0,0.16694134175777436,0.1186748594045639,0.21943058073520658
506,50000,0,0.16484341382980347,0.1017360344529152,0.2293420165777206
507,50000,1,0.16088640809059143,0.12449451386928559,0.1940487891435623
527,50000,0,0.12589272379875183,0.08932114243507386,0.19617860019206998
